,Model Name,Training Loss,Training Accuracy,Testing Loss,Testing Accuracy
0,CNN Baseline,1.383092165,0.4995833337,1.789274096,0.3333333433
1,VGG19 Baseline,1.171833754,0.6010416746,1.590956569,0.3708333373
2,VGG19 16-layers with Dropout(0.5),0.07202287018,0.9864583611,2.720023632,0.4083333313
3,VGG19 16-layers with Regularization,2.05280447,0.9869791865,4.529291153,0.390833348
4,VGG16,1.73081708,0.5352083445,1.970884204,0.4466666579
5,ResNet50 Layers with l2 Regularization,1.410143733,0.9947916865,4.178019524,0.3516666591
6,EfficientNet,0.06627482176,0.9775000215,5.13775444,0.3874999881
